id,name,type
91,light brown sugar,Baking
92,mixed peel,Baking
93,raisins,Produce
94,self-raising flour,Baking
95,stout,Alcoholic Beverages
96,suet,Meat
97,sultanas,Baking
98,almond meal,Baking
99,baking powder,Baking
100,lemon,Produce
101,lemon curd,"Nut butters, Jams, and Honey"
102,sour cream,"Milk, Eggs, Other Dairy"
103,vanilla extract,Baking
104,champagne,Alcoholic Beverages
105,coarse salt,Spices and Seasonings
106,cointreau,Alcoholic Beverages
107,lime,Produce
108,lime zest,Produce
109,silver tequila,Alcoholic Beverages
110,superfine sugar,Gourmet
111,celery seeds,Spices and Seasonings
112,dried onion,Spices and Seasonings
113,instant yeast,Baking
114,sharp cheddar cheese,Cheese
115,shortening,"Oil, Vinegar, Salad Dressing"
116,water,Beverages
117,whole milk,"Milk, Eggs, Other Dairy"
118,ancho chile powder,Spices and Seasonings
119,cumin,Spices and Seasonings
120,kosher salt,Spices and Seasonings
121,sage,Spices and Seasonings
122,squash,Produce
123,black pepper,Spices and Seasonings
124,cayenne pepper,Spices and Seasonings
125,cream cheese,Cheese
126,green chilies,Produce
127,grits,Baking
128,monterey jack cheese,Cheese
129,paprika,Spices and Seasonings
130,whole egg,"Milk, Eggs, Other Dairy"
131,jalapeno,Produce
132,juice of lime,Produce
133,plum tomatoes,Produce
134,sea-salt,Spices and Seasonings
135,shallot,Produce
136,tomatillos,Produce
137,all purpose flour,Baking
138,beef broth,Canned and Jarred
139,corn meal,Ethnic Foods
140,fresh cilantro,Produce
141,garlic clove,Produce
142,ground beef,Meat
143,ground cumin,Spices and Seasonings
144,ground pork,Meat
145,meatballs,Meat
146,salt and pepper,Spices and Seasonings
147,scallion,Produce
148,banana,Produce
149,chia seeds,Health Foods
150,maple syrup,Cereal
151,milk,"Milk, Eggs, Other Dairy"
152,avocados,Produce
153,canned black beans,Canned and Jarred
154,canned green chiles,Canned and Jarred
155,cilantro,Produce
156,onions,Produce
157,plantains,Produce
158,poblano peppers,Produce
159,vegetable oil,"Oil, Vinegar, Salad Dressing"
160,corn,Produce
161,guacamole,Refrigerated
162,lettuce,Produce
163,refried beans,Canned and Jarred
164,salsa,Pasta and Rice
165,broccoli,Produce
166,cheddar cheese,Cheese
167,cream of mushroom soup,Canned and Jarred
168,evaporated milk,Baking
169,brown sugar,Baking
170,cabbage,Produce
171,ketchup,Condiments
172,soba noodles,Ethnic Foods
173,soy sauce,Ethnic Foods
174,turkey,Meat
175,worcestershire sauce,Condiments
176,chocolate chips,Baking
177,egg whites,"Milk, Eggs, Other Dairy"
178,nonfat greek yogurt,"Milk, Eggs, Other Dairy"
179,old-fashioned oats,Cereal
180,skim milk,"Milk, Eggs, Other Dairy"
181,defrosted from,?
182,basil leaves,Produce
183,heavy cream,"Milk, Eggs, Other Dairy"
184,italian sausage,Meat
185,parmesan cheese,Cheese
186,red pepper flakes,Spices and Seasonings
187,shredded mozzarella cheese,Cheese
188,ziti pasta,Pasta and Rice
189,cinnamon,Spices and Seasonings
190,coconut flour,Gluten Free
191,ground flax seed,Baking
192,liquid stevia,Baking
193,sea salt,Spices and Seasonings
194,dried dill weed,Spices and Seasonings
195,fresh parsley,Produce
196,ground pepper,Spices and Seasonings
197,hamburger buns,Bakery/Bread
198,panko bread crumbs,Bakery/Bread
199,salmon,Seafood
200,seasoned bread crumbs,Bakery/Bread
201,sweet pickle relish,Condiments
202,regular,?
203,bay leaf,Spices and Seasonings
204,butter,"Milk, Eggs, Other Dairy"
205,canned cannellini beans,Canned and Jarred
206,chicken broth,Canned and Jarred
207,napa cabbage,Produce
208,oregano,Spices and Seasonings
209,potato,Produce
210,thyme,Produce
211,tomato paste,Pasta and Rice
212,yellow onion,Produce
213,slivered almonds,Baking
214,sugar,Baking
215,sweetened shredded coconut,Baking
216,arugula leaves,Produce
217,bread,Bakery/Bread
218,peanut butter,"Nut butters, Jams, and Honey"
219,bacon grease,Meat
220,beer,Alcoholic Beverages
221,thick-cut bacon,Meat
222,cashews,Savory Snacks
223,coconut cream,Health Foods
224,extra-virgin coconut oil,Baking
225,unsweetened shredded coconut,Baking
226,oil,"Oil, Vinegar, Salad Dressing"
227,water chestnuts,Ethnic Foods
228,wonton wrappers,Ethnic Foods
229,longganisa,?
230,basil,Produce
231,cracked pepper,Spices and Seasonings
232,penne pasta,Pasta and Rice
233,sausage,Meat
234,spinach,Produce
235,apple,Produce
236,brie,Cheese
237,crackers,Savory Snacks
238,kahlua,Alcoholic Beverages
239,walnuts,Baking
240,apple cider vinegar,"Oil, Vinegar, Salad Dressing"
241,beetroot,Produce
242,mint,Produce
243,Salt & Pepper,Spices and Seasonings
244,apples,Produce
245,buttermilk,"Milk, Eggs, Other Dairy"
246,caramel sauce,Frozen
247,ground nutmeg,Spices and Seasonings
248,butternut squash,Produce
249,light coconut milk,Canned and Jarred
250,limes,Produce
251,peanuts,Savory Snacks
252,red curry paste,Ethnic Foods
253,ice,Frozen
254,tequila,Alcoholic Beverages
255,triple sec,Alcoholic Beverages
256,fresh ginger root,Produce
257,green onion,Produce
258,tuna steaks,Seafood
259,low fat ricotta cheese,Cheese
260,turbinado sugar,Baking
261,chicken breasts,Meat
262,fennel seeds,Spices and Seasonings
263,cavatelli pasta,Pasta and Rice
264,extra virgin olive oil,"Oil, Vinegar, Salad Dressing"
265,fresh mint leaves,Produce
266,fresh parsley leaves,Produce
267,parmigiano reggiano,Cheese
268,dark brown sugar,Baking
269,orange zest,Produce
270,peaches,Produce
271,vanilla,Baking
272,whipped cream,"Milk, Eggs, Other Dairy"
273,beef chuck roast,Meat
274,bread crumbs,Bakery/Bread
275,canned mushrooms,Canned and Jarred
276,celery,Produce
277,condensed tomato soup,Canned and Jarred
278,dried basil,Spices and Seasonings
279,quick cooking tapioca,Baking
280,erythritol,Health Foods
281,zucchini,Produce
282,coffee,Tea and Coffee
283,full-fat coconut milk,"Milk, Eggs, Other Dairy"
284,instant coffee,Tea and Coffee
285,strong brewed coffee,Tea and Coffee
286,broccoli crowns,Produce
287,dry mustard,Spices and Seasonings
288,nutmeg,Spices and Seasonings
289,vegetable broth,Canned and Jarred
290,whole wheat flour,Baking
291,butterscotch pudding mix,Baking
292,canola oil,"Oil, Vinegar, Salad Dressing"
293,instant vanilla pudding mix,Baking
294,avocado,Produce
295,salmon fillet,Seafood
296,taco seasoning,Spices and Seasonings
297,tomatoes,Canned and Jarred
298,canned corn,Canned and Jarred
299,chicken tenders,Meat
300,chili powder,Spices and Seasonings
301,tortillas,Ethnic Foods
302,bell peppers,Produce
303,tomato sauce,Pasta and Rice
304,dried thyme,Spices and Seasonings
305,fat of choice,"Oil, Vinegar, Salad Dressing"
306,garlic powder,Spices and Seasonings
307,onion powder,Spices and Seasonings
308,whole eggs,"Milk, Eggs, Other Dairy"
309,jam,"Nut butters, Jams, and Honey"
310,curry powder,Ethnic Foods
311,kale,Produce
312,lemon pepper seasoning,Spices and Seasonings
313,turmeric,Spices and Seasonings
314,meyer lemon,Produce
315,plain greek yogurt,"Milk, Eggs, Other Dairy"
316,poppy seeds,Baking
317,bacon,Meat
318,chicken stock,Canned and Jarred
319,chile pepper,Produce
320,egg yolks,"Milk, Eggs, Other Dairy"
321,fettuccine,Pasta and Rice
322,fresh flat-leaf parsley,Produce
323,fresh thyme,Produce
324,parmigiano reggiano cheese,Cheese
325,pecorino romano cheese,Cheese
326,scallions,Produce
327,half and half,"Milk, Eggs, Other Dairy"
328,scallops,Seafood
329,shredded cheddar cheese,Cheese
330,bacon rashers,Meat
331,cucumber,Produce
332,pack cheese,?
333,elbow macaroni,Pasta and Rice
334,flat-leaf parsley,Produce
335,fontina cheese,Cheese
336,panko breadcrumbs,Bakery/Bread
337,truffle mushrooms,Gourmet
338,chocolate,Sweet Snacks
339,cocoa powder,Baking
340,confectioners sugar,Baking
341,creamy peanut butter,"Nut butters, Jams, and Honey"
342,ice cream,Frozen
343,semisweet chocolate chips,Baking
344,unbleached flour,Baking
345,green bell pepper,Produce
346,low sodium chicken broth,Canned and Jarred
347,pork loin chops,Meat
348,cornstarch,Baking
349,french fried onions,Canned and Jarred
350,green beans,Produce
351,white mushrooms,Produce
352,baking chocolate,Baking
353,brownie mix,Baking
354,chocolate frosting,Baking
355,oreo cookie,Sweet Snacks
356,dried cranberries,Dried Fruits
357,pepitas,Savory Snacks
358,pumpkin pie spice,Spices and Seasonings
359,rye flour,Health Foods
360,yeast,Baking
361,neutral- tasting oil,?
362,half n half cream,"Milk, Eggs, Other Dairy"
363,corn oil,"Oil, Vinegar, Salad Dressing"
364,okra,Produce
365,tomato,Canned and Jarred
366,white sugar,Baking
367,white vinegar,"Oil, Vinegar, Salad Dressing"
368,angel food cake,Bakery/Bread
369,apricots,Produce
370,cherries,Produce
371,juice of orange,Beverages
372,nectarine,Produce
373,nonfat cool whip,"Milk, Eggs, Other Dairy"
374,plum,Produce
375,bok choy,Produce
376,broccolini,Produce
377,cooking oil,"Oil, Vinegar, Salad Dressing"
378,hokkien noodles,Ethnic Foods
379,spring onions,Produce
380,tofu,Produce
381,TSP,Health Foods
382,balsamic vinegar,"Oil, Vinegar, Salad Dressing"
383,french bread,Bakery/Bread
384,low fat swiss cheese,Cheese
385,sweet onions,Produce
386,bay leaves,Spices and Seasonings
387,ham,Meat
388,lamb rib chops,Meat
389,port,Alcoholic Beverages
390,red wine vinegar,"Oil, Vinegar, Salad Dressing"
391,ground cardamom,Spices and Seasonings
392,ground coriander,Spices and Seasonings
393,pomegranate seeds,Produce
394,rose wine,Alcoholic Beverages
395,winter squash,Produce
396,breakfast sausage,Meat
397,canned great northern beans,Canned and Jarred
398,dried oregano,Spices and Seasonings
399,dried rosemary,Spices and Seasonings
400,beans,Canned and Jarred
401,coriander,Spices and Seasonings
402,corn tortillas,Pasta and Rice
403,fresh corn kernels,Produce
404,roasted red pepper,Canned and Jarred
405,salsa verde,Pasta and Rice
406,smoked paprika,Spices and Seasonings
407,carrot juice,Beverages
408,mirin,Ethnic Foods
409,orange juice,Beverages
410,safflower oil,"Oil, Vinegar, Salad Dressing"
411,white distilled vinegar,"Oil, Vinegar, Salad Dressing"
412,white miso,Ethnic Foods
413,yellowfin tuna,Seafood
414,cream,"Milk, Eggs, Other Dairy"
415,extra lean ground beef,Meat
416,flour tortillas,Bakery/Bread
417,romaine lettuce,Produce
418,vanilla essence,Baking
419,cauliflower florets,Produce
420,beef,Frozen
421,beef stock,Canned and Jarred
422,cornflour,Baking
423,thyme sprigs,Produce
424,blackberries,Produce
425,rolled oats,Cereal
426,burger buns,Bakery/Bread
427,canned coconut milk,Canned and Jarred
428,chipotle chile,Canned and Jarred
429,greek yogurt,"Milk, Eggs, Other Dairy"
430,ground chorizo,Meat
431,lean ground beef,Meat
432,tater tots,Frozen

