d,rid
784,83
785,83
786,83
787,83
788,83
789,83
790,84
791,84
792,84
793,84
794,84
795,85
796,85
797,85
798,85
799,85
800,85
801,85
802,85
803,86
804,86
805,86
806,86
807,86
808,86
809,86
810,86
811,86
812,87
813,87
814,87
815,87
816,87
817,87
818,87
819,87
820,87
821,87
822,88
823,88
824,88
825,88
826,88
827,88
828,88
829,88
830,88
831,88
832,88
833,88
834,88
835,88
836,88
837,88
838,88
839,88
840,88
841,88

